ΠΥΓϋ	°ΛΧΦΖΐ·Φ	ΞεΈρΖΐ·Φ	Χά·Φ
ΑυΌΞ΄Ώ	61	86.8	147.8
ΑυΤ½ΌΞ	72	84.8	156.8
Αυ·»ΌΞ	71.5	77.5	149.0
ΑυΌΞ­Z	21	81.0	102.0
ΑυΣ­ΌΞ	70	75.7	145.7
ΑυΌΞ΄΄	62	83.2	145.2
ΑυΌΞΛλ	60.5	77.3	137.8
ΑυΌΞΧΟ	60	76.6	136.6
ΑυΌΞΙ―	90	77.2	167.2
ΑυΌΞ½ψ	98	78.0	176.0
ΑυΌΞ½ϊ	96	86.8	182.8
ΑυΌΞ½υ	60	83.2	143.2
ΑυέθΌΞ	89	86.0	175.0
ΑυΌΞΒΜ	98	74.8	172.8
ΑυΌΞ½π	60.5	83.0	143.5
ΑυΌΞ½ς	61	86.8	147.8
Αυΐ¤ΌΞ	72.5	89.2	161.7
ΑυΌΞΛψ	60.5	88.8	149.3
ΑυΌΞΒΤ	95	76.6	171.6
ΑυΌΞΒΦ	98	78.0	176.0
ΑυΌΞΒΧ	96	86.8	182.8
Αυη£ΌΞ	61	92.9	153.9
ΑυΖΦΌΞ	60	75.7	135.7
ΑυεΆΌΞ	61.5	82.3	143.8
ΑυΌΞΛχ	61	86.8	147.8
ΑυΌΞ½ΰ	60	83.2	143.2
ΑυΖ»ΌΞ	90	86.4	176.4
ΑυΡΥΌΞ	90.5	94.1	184.6
ΑυΌΞ½ά	90	83.2	173.2
ΑυΌΞΛΙ	88.5	88.8	177.3
ΑυΨύΌΞ	71.5	77.5	149.0
ΑυΎΈΌΞ	62	78.1	140.1
ΑυΌΞ΄ο	95	83.2	178.2
ΑυΌΞΒη	90	83.2	173.2
ΑυΚΑΌΞ	90.5	89.2	179.7
Αυ³δΌΞ	71	83.4	154.4
ΑυΌΞΎϋ	62	83.2	145.2
ΑυΌΞ΄ε	88.5	80.4	168.9
ΑυΛχΌΞ	61	92.9	153.9
ΑυΌΞΛΨ	61	86.8	147.8
ΑυξΈΌΞ	60	75.7	135.7
ΑυΌΞπ©	90	83.2	173.2
ΑυΛ³ΌΞ	62	84.8	146.8
ΑυΌΞΒϊ	63	78.0	141.0
ΑυΞΠΌΞ	62	78.1	140.1
ΑυΌΞκΡ	62	77.2	139.2
ΑυΤµΌΞ	73	73.5	146.5
ΑυΌΞγγ	62	78.7	140.7
ΑυΌΞΝ­	63	74.8	137.8
ΑυΟ΅ΌΞ	90	84.8	174.8
ΑυζηΌΞ	62	86.4	148.4
ΑυΌΞΥρ	95	76.6	171.6
Αυ΄ΟΌΞ	61.5	82.3	143.8
ΑυΌΞγε	60.5	83.0	143.5
ΑυΌΞΥς	60.5	88.8	149.3
ΑυΌΞΥύ	63	74.3	137.3
ΑυΌΞ°²	70	81.2	151.2
ΑυΌΞΐΩ	89	86.7	175.7
Αυ°ΊΌΞ	90.5	89.2	179.7
ΑυΥ¤ΌΞ	91	85.2	176.2
ΑυκΕΌΞ	98	85.2	183.2
ΑυΜΪΌΞ	96	82.2	178.2
ΑυΌΞΝΏ	62	77.2	139.2
ΑυΟθΌΞ	72	84.8	156.8
ΑυΡÒΌΞ	72.5	89.2	161.7
ΑυΌΞθΊ	96	86.7	182.7
ΑυΌΞΥι	95	83.2	178.2
ΑυΜοΌΞ	98	67.7	165.7
ΑυΌΞγό	61	81.8	142.8
ΑυΌΞΥΥ	97	77.2	174.2
ΑυΌΞΙκ	63	74.3	137.3
ΑυΌΞΥΡ	96	81.8	177.8
ΑυΖΥΌΞ	62	84.8	146.8
ΑυβωΌΞ	73	85.2	158.2
ΑυΠΔΌΞ	63	78.8	141.8
ΑυΙκΌΞ	63	67.7	130.7
ΑυΦήΌΞ	61	92.9	153.9
ΑυÒγΌΞ	91	73.5	164.5
ΑυΤεΌΞ	62	86.4	148.4
ΑυΌΞΒΪ	98	74.8	172.8
ΑυΌΞέΥ	91	74.8	165.8
ΑυηηΌΞ	95	81.6	176.6
ΑυΘκΌΞ	61.5	77.5	139.0
ΑυΌΞΥΐ	98	74.8	172.8
ΑυΌΞΥΓ	98	74.8	172.8
ΑυΎϋΌΞ	62	84.8	146.8
ΑυΌΞκΏ	95.5	83.0	178.5
Αυξ£ΌΞ	63	74.8	137.8
Αυ»±ΌΞ	91	74.8	165.8
ΑυΗσΌΞ	96	83.4	179.4
ΑυέΔΌΞ	91	74.8	165.8
ΑυΊΖΌΞ	60	75.7	135.7
ΑυΌΞΙΠ	60.5	83.0	143.5
ΑυÒ«ΌΞ	96	82.2	178.2
ΑυΌΞΥΉ	96	86.8	182.8
ΑυΑϊΌΞ	96	86.0	182.0
ΑυΧ³ΌΞ	61.5	77.5	139.0
ΑυΌΞΥ¤	89	81.8	170.8
Αυ¶°ΌΞ	90	84.8	174.8
ΑυΗεΌΞ	62	84.8	146.8
ΑυΌΞΈΥ	61	86.8	147.8
Αυ·αΌΞ	97.5	94.1	191.6
ΑυΌΞΝΆ	95.5	80.4	175.9
ΑυζθΌΞ	62	86.4	148.4
ΑυΔΏΌΞ	63	67.7	130.7
ΑυΣξΌΞ	71	83.4	154.4
ΑυκΛΌΞ	61	92.9	153.9
ΑυΠςΌΞ	61.5	77.5	139.0
ΑυΌΞΝτ	60.5	83.0	143.5
ΑυΡ©ΌΞ	60	75.7	135.7
ΑυΌΞή¨	88.5	88.8	177.3
ΑυκΟΌΞ	95	75.7	170.7
ΑυΕσΌΞ	61.5	77.5	139.0
ΑυΦΗΌΞ	97	84.8	181.8
ΑυΌΞε«	61	75.0	136.0
ΑυÒκΌΞ	91	73.5	164.5
Αυΐ¥ΌΞ	97.5	89.2	186.7
ΑυΘ»ΌΞ	62	84.8	146.8
Αυδ²ΌΞ	61	92.9	153.9
Αυ²ΔΌΞ	89.5	77.5	167.0
Αυ¶«ΌΞ	90.5	89.2	179.7
Αυε­ΌΞ	61	82.2	143.2
Αυ·εΌΞ	61	92.9	153.9
ΑυΞ¬ΌΞ	73	74.8	147.8
ΑυΌΞε¥	60.5	77.3	137.8
ΑυθλΌΞ	89	86.0	175.0
Αυ²ΎΌΞ	63	84.8	147.8
ΑυΌΞΎό	89	81.8	170.8
ΑυΡωΌΞ	91	73.5	164.5
ΑυΙϊΌΞ	63	67.7	130.7
ΑυΌΞΜο	98	74.3	172.3
ΑυΌΞΜμ	98	85.5	183.5
ΑυΘαΌΞ	63	85.2	148.2
ΑυΌΞΗ¬	88	76.6	164.6
ΑυΌΞΗ«	88.5	77.3	165.8
ΑυΌΞη±	98	74.8	172.8
ΑυΌΞΜϊ	60	79.4	139.4
ΑυΟιΌΞ	60	75.7	135.7
ΑυΌΞΉΪ	89	81.8	170.8
ΑυΕ¦ΌΞ	61	92.9	153.9
ΑυΚψΌΞ	61.5	77.5	139.0
ΑυΌΞΜΓ	70	76.6	146.6
ΑυΌΞΉγ	91	78.0	169.0
ΑυΌΞ°½	70	76.6	146.6
ΑυΌΞ°Ί	88.5	83.0	171.5
ΑυιΘΌΞ	91	73.5	164.5
ΑυΌΞΜΔ	90	83.2	173.2
ΑυΌΞΠΣ	88.5	80.4	168.9
ΑυΡέΌΞ	63	73.5	136.5
ΑυΌΞΜΞ	60.5	88.8	149.3
ΑυΌΞΜΟ	63	74.8	137.8
ΑυΌΞ²Ε	63	85.5	148.5
Αυθ΅ΌΞ	62	78.1	140.1
ΑυΌΞΜÒ	89	86.8	175.8
Αυ½πΌΞ	62.5	89.2	151.7
ΑυΌΞΉσ	90	83.2	173.2
Αυ΄ΉΌΞ	62.5	89.2	151.7
ΑυΌΞ°ª	90	78.7	168.7
ΑυΌΞΚΐ	63	74.3	137.3
ΑυΌΞΜΪ	96	75.0	171.0
ΑυθχΌΞ	88	75.7	163.7
ΑυΌΞΉϋ	88.5	83.0	171.5
ΑυδΑΌΞ	62	84.8	146.8
ΑυΌΞμΎ	97	77.2	174.2
Αυ²ύΌΞ	62.5	89.2	151.7
ΑυΌΞΉΜ	88.5	83.0	171.5
ΑυΌΞ»Ξ	96	86.8	182.8
ΑυΌΞΎ΄	90	77.2	167.2
ΑυΌΞΎ°	90	83.2	173.2
ΑυΌΞΠΠ	60	81.2	141.2
ΑυΌΞ°Ψ	89	81.8	170.8
ΑυΉΪΌΞ	91	85.2	176.2
ΑυΞ¤ΌΞ	73	85.2	158.2
ΑυΌΞΗσ	95	81.2	176.2
ΑυΡ§ΌΞ	61	86.0	147.0
ΑυΌΞΜ©	96	81.8	177.8
ΑυΌΞΎΈ	62	77.2	139.2
ΑυΌΞνµ	62	83.2	145.2
Αυΐ¶ΌΞ	89	82.2	171.2
ΑυΒ΅ΌΞ	96.5	82.3	178.8
ΑυΌΞΎ§	97	83.2	180.2
Αυ·ζΌΞ	63	73.5	136.5
ΑυΌΞΗη	97	83.2	180.2
ΑυΌΞΎ­	90	77.2	167.2
ΑυΌΞΗε	62	83.2	145.2
Αυ½­ΌΞ	61.5	77.5	139.0
ΑυΓΰΌΞ	63	74.8	137.8
ΑυΌΞμβ	95.5	88.8	184.3
ΑυΚ«ΌΞ	62	78.1	140.1
ΑυΌΞ³Ύ	98	74.8	172.8
ΑυΓϊΌΞ	63	74.8	137.8
ΑυΌΞΗΨ	96	86.8	182.8
ΑυΌΞΠΒ	62	77.2	139.2
ΑυΌΞΗΥ	62	83.2	145.2
ΑυΘεΌΞ	61	86.0	147.0
ΑυθςΌΞ	89	92.9	181.9
ΑυΦέΌΞ	61	83.4	144.4
ΑυΌΞΗΡ	88	76.6	164.6
ΑυΌΞΉ®	91	78.0	169.0
ΑυΌΞ°ξ	60	76.6	136.6
ΑυΌΞΗμ	91	78.0	169.0
ΑυΌΞΠΐ	88.5	83.0	171.5
Αυ½ψΌΞ	98	73.5	171.5
Αυ³½ΌΞ	71.5	77.5	149.0
ΑυΌΞΠΑ	60.5	80.4	140.9
ΑυΚυΌΞ	88	75.7	163.7
ΑυΌΞΡω	91	78.0	169.0
ΑυΫέΌΞ	71	83.4	154.4
ΑυκΝΌΞ	62	78.1	140.1
ΑυΦΙΌΞ	72	78.1	150.1
ΑυΌΞΌΓ	60.5	88.8	149.3
ΑυΌΞΙά	60	76.6	136.6
ΑυΌΞΡσ	61	86.8	147.8
ΑυΐέΌΞ	72.5	94.1	166.6
ΑυΌΞΡτ	70.5	77.3	147.8
ΑυΠρΌΞ	89	83.4	172.4
ΑυµΗΌΞ	97	84.8	181.8
ΑυΈΦΌΞ	61	86.0	147.0
Αυ…ΌΞ	21	88.6	109.6
ΑυΌΞΝς	63	78.0	141.0
ΑυΌΞΡε	89	81.8	170.8
ΑυΈ£ΌΞ	63	74.8	137.8
Αυ²ΕΌΞ	63	78.8	141.8
ΑυΌαΌΞ	88	75.7	163.7
ΑυΌΞΡέ	63	78.0	141.0
ΑυιªΌΞ	90	78.1	168.1
ΑυΓηΌΞ	60	75.7	135.7
ΑυΤ£ΌΞ	62	78.1	140.1
Αυ³νΌΞ	62	78.1	140.1
ΑυΌΞΡÒ	70.5	83.0	153.5
ΑυΣ³ΌΞ	98	85.2	183.2
ΑυΌΞΡΤ	88.5	80.4	168.9
ΑυΌΞΡΧ	95.5	83.0	178.5
ΑυΐΩΌΞ	91	84.8	175.8
Αυ¶΄ΌΞ	61	92.9	153.9
ΑυΐςΌΞ	90	78.1	168.1
ΑυΌΞΡΒ	70	76.6	146.6
ΑυΠωΌΞ	71	92.9	163.9
ΑυΌΞΡΈ	96	86.8	182.8
ΑυΠεΌΞ	62.5	94.1	156.6
ΑυΈ»ΌΞ	62	84.8	146.8
ΑυΧ­ΌΞ	91	73.5	164.5
ΑυΌΞΥά	96	86.8	182.8
ΑυδΈΌΞ	60	75.7	135.7
ΑυΌΝΌΞ	91	85.2	176.2
ΑυΌΞΡ©	60	76.6	136.6
ΑυΦΎΌΞ	96.5	77.5	174.0
ΑυΒΤΌΞ	95	75.7	170.7
ΑυΏ¥ΌΞ	61.5	82.3	143.8
Αυ·ΔΌΞ	61	92.9	153.9
ΑυΤΒΌΞ	91	78.8	169.8
ΑυέΣΌΞ	89	86.0	175.0
ΑυΌΞΡ¤	62	83.2	145.2
ΑυΌΞΡ§	60	83.2	143.2
ΑυΝώΌΞ	73	85.2	158.2
Αυ³¬ΌΞ	62	84.8	146.8
Αυ³ΫΌΞ	97	78.1	175.1
Αυ°ΨΌΞ	91	85.2	176.2
ΑυΝ¥ΌΞ	96	92.9	188.9
Αυ¶ΡΌΞ	70	75.7	145.7
ΑυΌΞΉ¦	91	74.3	165.3
ΑυΠυΌΞ	62	84.8	146.8
ΑυΟτΌΞ	90.5	94.1	184.6
ΑυΊιΌΞ	61	92.9	153.9
ΑυνµΌΞ	62	84.8	146.8
ΑυΓϋΌΞ	61	83.4	144.4
ΑυΕμΌΞ	61	86.0	147.0
ΑυΦ­ΌΞ	61	83.4	144.4
ΑυΔΑΌΞ	62.5	89.2	151.7
ΑυΌΞΒε	61	86.8	147.8
ΑυΤΖΌΞ	62	84.8	146.8
ΑυκΚΌΞ	96	86.0	182.0
ΑυΌΞΞΔ	63	85.5	148.5
ΑυΊθΌΞ	61.5	82.3	143.8
ΑυΏϋΌΞ	91	73.5	164.5
ΑυΌΞΘτ	88	76.6	164.6
ΑυΌΞµν	60.5	77.3	137.8
ΑυΌΞΘσ	60	83.2	143.2
ΑυΌΞΘπ	63	74.8	137.8
ΑυΌΞΘρ	63	78.0	141.0
ΑυΝ©ΌΞ	89	92.9	181.9
ΑυΌΞΊρ	61	81.8	142.8
ΑυΌΞΓΙ	60	83.2	143.2
ΑυΛΌΌΞ	63	85.2	148.2
ΑυΌΞµΩ	91	78.0	169.0
ΑυΌΞΘϋ	62	77.2	139.2
Αυ·οΌΞ	63	74.8	137.8
ΑυΌΞΓρ	63	74.3	137.3
ΑυΌΞΊθ	60.5	77.3	137.8
ΑυΌΞΊι	61	86.8	147.8
ΑυΌΞΊκ	60.5	80.4	140.9
ΑυΌΞΊλ	63	74.3	137.3
Αυ³ώΌΞ	90	78.1	168.1
ΑυΌΞΘα	61	81.8	142.8
ΑυΌΞΊΰ	60.5	80.4	140.9
ΑυΎΥΌΞ	91	74.8	165.8
ΑυΌΞΊβ	70	83.2	153.2
ΑυΌΞΊγ	61	86.8	147.8
ΑυΌΞΘκ	60.5	80.4	140.9
ΑυΌΞΓή	90	83.2	173.2
ΑυΌΞΊη	89	81.8	170.8
Αυ½΅ΌΞ	88	75.7	163.7
ΑυΌΞΘΥ	98	85.5	183.5
ΑυΌΞΓη	60	76.6	136.6
ΑυΜμΌΞ	98	78.8	176.8
ΑυΌΞΘή	62	83.2	145.2
ΑυΞµΌΞ	89.5	82.3	171.8
ΑυΌΞ½΅	88	76.6	164.6
ΑυΌΞΊΣ	61	81.8	142.8
ΑυΌΞΘΪ	70	83.2	153.2
ΑυΌΞΘΨ	88	83.2	171.2
ΑυΌΞΘΩ	91	74.8	165.8
ΑυΏ΅ΌΞ	98	85.2	183.2
ΑυάρΌΞ	90.5	94.1	184.6
ΑυΌΞΊΜ	63	74.3	137.3
ΑυΌΞΊΝ	60.5	83.0	143.5
ΑυΌΞθ΅	62	77.2	139.2
ΑυΌΞΊΐ	63	74.8	137.8
ΑυΌΞΓϊ	63	74.8	137.8
ΑυΌΞΓω	63	74.8	137.8
ΑυΌΞΛ΄	62	83.2	145.2
ΑυΌΞΘΚ	63	85.5	148.5
ΑυΌΞΊΖ	60	76.6	136.6
ΑυΣ°ΌΞ	73	73.5	146.5
Αυ°²ΌΞ	71	83.4	154.4
ΑυΌΞΊ½	61	86.8	147.8
ΑυΌΞΒ΅	95.5	77.3	172.8
ΑυΊΰΌΞ	61.5	77.5	139.0
ΑυδΖΌΞ	62	84.8	146.8
ΑυΌΞΊ²	60	83.2	143.2
ΑυΏόΌΞ	73	85.2	158.2
ΑυΌΞΘΊ	90	77.2	167.2
ΑυΌΞΘ»	62	83.2	145.2
ΑυΠΐΌΞ	90.5	89.2	179.7
ΑυΌΞ±ψ	60.5	80.4	140.9
Αυ²ΛΌΞ	91	74.8	165.8
ΑυΔΙΌΞ	96	92.9	188.9
ΑυΌΞΊ­	62	83.2	145.2
Αυ±ςΌΞ	88	75.7	163.7
ΑυΌΞΊ£	60	76.6	136.6
ΑυΌΞΘª	61	81.8	142.8
ΑυΌΞΘ«	95	81.2	176.2
ΑυΌΞΌÒ	89	86.8	175.8
ΑυΙύΌΞ	63	78.8	141.8
ΑυΌΞθχ	88	76.6	164.6
ΑυΌΞθς	89	86.8	175.8
ΑυΒΧΌΞ	96	92.9	188.9
ΑυΌΞΦΞ	61	81.8	142.8
ΑυΌΞµΎ	91	78.0	169.0
ΑυΛλΌΞ	61.5	82.3	143.8
ΑυΌΞΑΑ	96	81.8	177.8
Αυ·ΌΌΞ	89	92.9	181.9
ΑυΌΞθε	90	77.2	167.2
Αυέ¥ΌΞ	89	86.0	175.0
ΑυΌΞ³Ξ	60	83.2	143.2
ΑυηΝΌΞ	61	82.2	143.2
ΑυΌΞ²Τ	88	83.2	171.2
ΑυΌΞΨύ	70.5	80.4	150.9
ΑυΌΞµ©	98	74.3	172.3
ΑυΌΞθλ	88	83.2	171.2
Αυε©ΌΞ	62.5	94.1	156.6
ΑυΌΞΝ¬	95	81.2	176.2
ΑυΌΞΏµ	88	76.6	164.6
ΑυΥΒΌΞ	95	75.7	170.7
ΑυΌΞΝ©	89	86.8	175.8
ΑυΟ£ΌΞ	61.5	77.5	139.0
ΑυΞδΌΞ	62.5	89.2	151.7
ΑυΌΞΎΥ	91	74.8	165.8
ΑυΣΒΌΞ	73	85.2	158.2
ΑυΌΞφΞ	63	79.1	142.1
ΑυΌΞάί	88	76.6	164.6
ΑυΖλΌΞ	63	74.8	137.8
ΑυΌΞΠρ	88	81.2	169.2
ΑυΌΞΏ¥	60.5	77.3	137.8
ΑυΌΞΏ£	60	76.6	136.6
ΑυΌΞΏ΅	96	81.8	177.8
ΑυΌΞβω	71	81.8	152.8
ΑυΌΞΥΒ	95	76.6	171.6
ΑυΌΞΏ­	90	83.2	173.2
ΑυΌΞΏ¬	90	77.2	167.2
ΑυΌΞΝ³	90	83.2	173.2
ΑυΌΞ¶¬	98	74.3	172.3
ΑυΌΞ¶­	98	78.0	176.0
ΑυΤΎΌΞ	70	81.6	151.6
ΑυΌΞ¶«	88.5	83.0	171.5
ΑυΌΡΌΞ	90.5	89.2	179.7
ΑυΏΙΌΞ	91	67.7	158.7
ΑυΞΰΌΞ	88	75.7	163.7
ΑυΌΞ¶΅	97	88.5	185.5
ΑυάΖΌΞ	89	92.9	181.9
ΑυΌΞ³Ϋ	97	77.2	174.2
Αυ²ΚΌΞ	60	75.7	135.7
Αυ·ΧΌΞ	61	92.9	153.9
ΑυΒϊΌΞ	63	73.5	136.5
ΑυΌΞ¶΄	61	86.8	147.8
ΑυμΎΌΞ	97	78.1	175.1
ΑυΌΞ¶°	90	83.2	173.2
ΑυΙπΌΞ	60	75.7	135.7
ΑυΦΒΌΞ	98	85.2	183.2
Αυ³ΠΌΞ	62.5	89.2	151.7
ΑυΘήΌΞ	62	84.8	146.8
ΑυΌΞΏφ	61	81.8	142.8
ΑυΦΞΌΞ	63	85.2	148.2
Αυ³ΜΌΞ	97	84.8	181.8
ΑυΐρΌΞ	97.5	94.1	191.6
ΑυΜΞΌΞ	62.5	94.1	156.6
ΑυΌΞΏό	71	81.8	152.8
ΑυΌΞΏϋ	91	78.0	169.0
ΑυΌΞέΏ	91	74.8	165.8
Αυµ©ΌΞ	98	67.7	165.7
ΑυΡΤΌΞ	89.5	77.5	167.0
ΑυΩχΌΞ	62	78.1	140.1
ΑυΌΞΝώ	71	81.8	152.8
ΑυΌΞΝϋ	60	76.6	136.6
ΑυΌΞΏΰ	88	76.6	164.6
ΑυΑ¬ΌΞ	98	74.8	172.8
ΑυΗΨΌΞ	96	92.9	188.9
ΑυΌΞ¶Ρ	70	76.6	146.6
ΑυΌΞ¶Ò	60.5	80.4	140.9
ΑυΘ«ΌΞ	96	83.4	179.4
ΑυΌΞΠΛ	63	78.0	141.0
ΑυΒ¥ΌΞ	91	73.5	164.5
ΑυΘΪΌΞ	71	86.0	157.0
ΑυφªΌΞ	63	73.5	136.5
Αυ³ΘΌΞ	89	86.0	175.0
ΑυΌΞ¶δ	88	81.2	169.2
ΑυΌΞΉπ	89	86.8	175.8
Αυε¥ΌΞ	61.5	82.3	143.8
Αυ¶χΌΞ	71	92.9	163.9
ΑυΥιΌΞ	96	86.0	182.0
ΑυΌΞΏΖ	89	81.8	170.8
ΑυΌΞς£	63	78.0	141.0
ΑυΌΞΏΒ	89	81.8	170.8
ΑυΝϋΌΞ	60	75.7	135.7
ΑυΣ§ΌΞ	72	89.7	161.7
ΑυΐνΌΞ	97	84.8	181.8
ΑυΠΫΌΞ	62	84.8	146.8
ΑυΌΞΏΙ	91	74.3	165.3
ΑυµΩΌΞ	91	73.5	164.5
ΑυΌΞΦ®	98	85.5	183.5
ΑυΌΞ±Ϊ	70	83.2	153.2
ΑυΌΞΔώ	98	74.8	172.8
ΑυΤ¶ΌΞ	71.5	82.3	153.8
ΑυΗΏΌΞ	88	75.7	163.7
ΑυΖΟΌΞ	91	73.5	164.5
ΑυΌÒΌΞ	89	92.9	181.9
ΑυΌΞΦΌ	95	81.2	176.2
ΑυΌΞΣΒ	71	81.8	152.8
ΑυΌΞΦΎ	95.5	80.4	175.9
ΑυΚΏΌΞ	62	92.1	154.1
ΑυΚ±ΌΞ	61	92.9	153.9
ΑυΗΡΌΞ	88	75.7	163.7
ΑυΌΞ³Ι	60.5	80.4	140.9
ΑυΌΞΦ²	90	83.2	173.2
ΑυΌΞ΄Ο	60.5	77.3	137.8
ΑυΌΞΤΪ	60	81.2	141.2
ΑυΌΞδΈ	60	76.6	136.6
ΑυΐυΌΞ	89	92.9	181.9
ΑυΝΑΌΞ	72	92.1	164.1
ΑυΌΞ±ό	60.5	83.0	143.5
ΑυΌΞ±ώ	96	81.8	177.8
ΑυΌΞδ²	61	86.8	147.8
ΑυΊρΌΞ	63	85.2	148.2
ΑυΌΞ±σ	60	76.6	136.6
ΑυΌΞ±ς	88	76.6	164.6
ΑυΌΞ±υ	60.5	88.8	149.3
ΑυΌΞΒ«	90	78.7	168.7
ΑυΣΠΌΞ	71	83.4	154.4
ΑυΏφΌΞ	63	85.2	148.2
Αυ³ΟΌΞ	63	74.8	137.8
ΑυΟªΌΞ	63	74.8	137.8
ΑυΌΞ±λ	60	76.6	136.6
ΑυΌΞΔΙ	96	86.8	182.8
ΑυΖªΌΞ	91	73.5	164.5
ΑυιΊΌΞ	90	78.1	168.1
ΑυΌΞΔΒ	60	83.2	143.2
ΑυΌΞΔΑ	60.5	83.0	143.5
ΑυΟΧΌΞ	89	82.2	171.2
ΑυΗΥΌΞ	62	84.8	146.8
ΑυΌΞΦμ	88	81.2	169.2
ΑυΌΞδΨ	62	77.2	139.2
ΑυΌΞδή	61	86.7	147.7
ΑυΌΞΔΏ	63	74.3	137.3
ΑυΑΌΌΞ	96.5	77.5	174.0
ΑυΌΞΔ±	60	83.2	143.2
ΑυΥΥΌΞ	97	78.1	175.1
ΑυΌΞ³ρ	63	74.8	137.8
ΑυΦ²ΌΞ	90	84.8	174.8
ΑυΑΨΌΞ	61	86.0	147.0
ΑυΦΌΌΞ	96	83.4	179.4
ΑυΌΞδΘ	62	83.2	145.2
Αυκ»ΌΞ	97.5	89.2	186.7
ΑυΘΚΌΞ	63	78.8	141.8
Αυ½―ΌΞ	89.5	82.3	171.8
Αυ²¨ΌΞ	63	85.2	148.2
ΑυάίΌΞ	88	75.7	163.7
ΑυΌΞδΐ	62	83.2	145.2
ΑυΙΦΌΞ	91	85.2	176.2
ΑυΌΞδΖ	62	83.2	145.2
ΑυΌΞΦρ	88	81.2	169.2
ΑυΜΔΌΞ	90	84.8	174.8
ΑυΌΞ±Έ	62	83.2	145.2
ΑυφΞΌΞ	63	79.8	142.8
ΑυΌΞ¶χ	71	86.8	157.8
ΑυΌΞΦΙ	72	77.2	149.2
ΑυΉϋΌΞ	90.5	89.2	179.7
ΑυΌΞ±Ύ	91	74.3	165.3
Αυ°ªΌΞ	90	86.4	176.4
ΑυΌΞΦΗ	97	83.2	180.2
ΑυΠΛΌΞ	63	73.5	136.5
ΑυΌΞΦΒ	96	81.8	177.8
ΑυκΜΌΞ	71	92.9	163.9
Αυ·ΆΌΞ	62	84.8	146.8
ΑυΌΞΦή	61	86.8	147.8
ΑυΝΆΌΞ	96.5	77.5	174.0
ΑυΊΝΌΞ	62.5	89.2	151.7
ΑυΗμΌΞ	91	73.5	164.5
ΑυκΏΌΞ	97.5	89.2	186.7
ΑυΌΞ±΅	61	86.7	147.7
ΑυΌΞΦΦ	98	74.8	172.8
Αυ±ώΌΞ	98	85.2	183.2
ΑυΌΞΦΠ	98	85.5	183.5
ΑυΌΞΦÒ	95.5	83.0	178.5
ΑυΌΞ±¦	96	75.0	171.0
ΑυΌΞΞδ	60.5	83.0	143.5
ΑυτλΌΞ	91	74.8	165.8
ΑυΉηΌΞ	71	83.4	154.4
ΑυΑΦΌΞ	90.5	89.2	179.7
ΑυΌΞΞΰ	88	76.6	164.6
ΑυΠΗΌΞ	63	85.2	148.2
ΑυΌΞΡΥ	88.5	88.8	177.3
ΑυΌΞ»±	91	74.8	165.8
ΑυΒηΌΞ	90	84.8	174.8
ΑυΌΞΙ½	72	86.0	158.0
ΑυΓωΌΞ	63	74.8	137.8
ΑυΚ¥ΌΞ	72	78.1	150.1
ΑυΜÒΌΞ	89	92.9	181.9
ΑυΌΞ»ª	63	74.8	137.8
ΑυΌΞΞφ	88.5	83.0	171.5
ΑυΌΞ΄σ	97	86.0	183.0
ΑυΌΞή¬	88.5	88.8	177.3
ΑυÒµΌΞ	90	78.1	168.1
Αυ°ξΌΞ	60	75.7	135.7
ΑυΘΥΌΞ	98	78.8	176.8
ΑυΌΞΙ­	90	83.2	173.2
ΑυΠϋΌΞ	63	85.2	148.2
ΑυΌΞΞϊ	62	83.2	145.2
Αυ΄ΊΌΞ	63	85.2	148.2
ΑυΌΞΞΖ	61	86.8	147.8
ΑυΌΞΞΐ	73	78.0	151.0
ΑυΉγΌΞ	91	73.5	164.5
ΑυΌΞξ£	63	74.8	137.8
Αυ΄¨ΌΞ	62	92.1	154.1
ΑυΊΣΌΞ	63	85.2	148.2
ΑυΛ«ΌΞ	62.5	94.1	156.6
ΑυΞφΌΞ	90.5	89.2	179.7
ΑυΌΞ²Ύ	61	86.7	147.7
ΑυΌΞΈί	89	86.8	175.8
ΑυΚΗΌΞ	63	85.2	148.2
ΑυΌΞΑϊ	95	83.2	178.2
ΑυΌΞΞΠ	62	77.2	139.2
ΑυΧζΌΞ	61	92.9	153.9
ΑυΌΞΐ¶	89	75.0	164.0
ΑυΌΞ²©	62	83.2	145.2
ΑυΌΞΐ΄	95.5	83.0	178.5
ΑυΌΞξΈ	60	76.6	136.6
ΑυΦΦΌΞ	98	74.8	172.8
ΑυΌΞ²®	60.5	80.4	140.9
ΑυΌΞΞ¤	71	81.8	152.8
ΑυΌΞΙπ	60	76.6	136.6
ΑυΌΞ²ί	90	83.2	173.2
ΑυΌΞ²Σ	95.5	77.3	172.8
ΑυΌΞΐΚ	95	76.6	171.6
ΑυΠγΌΞ	61.5	77.5	139.0
ΑυΌΞ»ύ	95	83.2	178.2
ΑυΌΞ²Χ	63	74.8	137.8
ΑυΌΞΞ¬	73	74.8	147.8
ΑυΌΞΟώ	95	83.2	178.2
ΑυΌΞΙϊ	63	74.3	137.3
ΑυΌΞξΘ	61	86.8	147.8
ΑυΌΞΛη	62	77.2	139.2
ΑυΌΞΞª	72	83.2	155.2
Αυ΄εΌΞ	89.5	77.5	167.0
ΑυδΪΌΞ	63	74.8	137.8
